name,gender,wikidata,type
"Montagne de Bueren",,,way
"Parc Sauveur",,,way
"Parc de la Boverie",,,way
"Parvis des Écoliers",,,way
"Passage Boute-li-Cou",,,way
"Passage Charles Bury",,,way
"Passage Chaudoir",,,way
"Passage Jupe-en-Haut",,,way
"Passage Lemonnier",,,way
"Passage des Glaneuses",,,way
"Passage du Château d'eau",,,way
"Passage du Laitier",,,way
"Passage du vieux sart",,,way
"Passerelle La Belle Liégeoise",,,way
"Passerelle Léon Tchiniss",,,way
"Passerelle Mativa",,,way
"Passerelle Saucy",,,way
"Passerelle Vivegnis",,,way
"Passerelle de la Principauté de Liège",,,way
"Pazé del Vingne des Beddines",,,way
"Pelouse de dispersion ""Les Acacias""",,,way
"Place André Renard",,,way
"Place Andréa Jadoulle",,,way
"Place Barthélemy Vieillevoye",,,way
"Place Bonne Nouvelle",,,way
"Place Cockerill",,,way
"Place Coronmeuse",,,way
"Place Crève-Cœur",,,way
"Place De Brouckère",,,way
"Place Delcour",,,way
"Place Émile Dupont",,,way
"Place Ferrer",,,way
"Place Gabriel",,,way
"Place Georges Ista",,,way
"Place Gilles Étienne",,,way
"Place Hector Denis",,,way
"Place Henri Simon",,,way
"Place Henriette Brenu",,,way
"Place Hocheporte",,,way
"Place Hors-Ville",,,way
"Place Hubert-Pissard",,,way
"Place Jehan le Bel",,,way
"Place Joseph Dejardin",,,way
"Place Joseph Willem",,,way
"Place Jules Seeliger",,,way
"Place Louis de Geer",,,way
"Place Nicolas Bernimolin",,,way
"Place Notger",,,way
"Place Pierre Clerdent",,,relation
"Place Reine Astrid",,,way
"Place Saint Denis",,,way
"Place Saint Jacques",,,way
"Place Saint-Barthélemy",,,relation
"Place Saint-Christophe",,,way
"Place Saint-Étienne",,,way
"Place Saint-Lambert",,,relation
"Place Saint-Michel",,,way
"Place Saint-Nicolas",,,way
"Place Saint-Paul",,,relation
"Place Saint-Pholien",,,way
"Place Sainte Marie",,,relation
"Place Sainte-Barbe",,,way
"Place Sainte-Véronique",,,way
"Place Sainte-Walburge",,,way
"Place Sylvain Dupuis",,,way
"Place Théodore Gobert",,,way
"Place Théodore-Gobert",,,way
"Place Verte",,,way
"Place Vivegnis",,,way
"Place Xavier Neujean",,,way
"Place d'Elmer",,,way
"Place d'Italie",,,way
"Place de Bronckart",,,way
"Place de Meuse",,,way
"Place de l'Ourthe",,,way
"Place de l'Yser",,,way
"Place de la Cathédrale",,,relation
"Place de la Libération",,,way
"Place de la Liberté",,,way
"Place de la République Française",,,way
"Place de la Résistance",,,relation
"Place de la Solidarité",,,way
"Place de la Vieille-Montagne",,,way
"Place de la liberté",,,way
"Place des Abeilles",,,way
"Place des Arzis",,,way
"Place des Béguinages",,,way
"Place des Bons Enfants",,,way
"Place des Boutons d'Or",,,way
"Place des Carmes",,,way
"Place des Combattants",,,way
"Place des Conduites d'Eau",,,way
"Place des Déportés",,,way
"Place des Franchises",,,way
"Place des Fusillés",,,way
"Place des Guillemins",,,way
"Place des Hirondelles",,,way
"Place des Marronniers",,,way
"Place des Martyrs",,,way
"Place des Nations-Unies",,,way
"Place des Orateurs",,,way
"Place des Vennes",,,way
"Place des Wallons",,,way
"Place du Batty",,,way
"Place du Congrès",,,way
"Place du Flot",,,way
"Place du Fourchu Fossé",,,way
"Place du Général Leman",,,way
"Place du Gravier",,,way
"Place du Haut-Pré",,,relation
"Place du Marché",,,relation
"Place du Nord",,,way
"Place du Parc",,,way
"Place du Tilleul",,,way
"Place du Vieux-Puits",,,way
"Place du Wérihet",,,way
"Place du XX Août",,,way
"Place gît le Coq",,,way
"Plateau du Bouhay",,,way
"Pont Albert 1er",,,way
"Pont Atlas",,,way
"Pont Biais",,,way
"Pont Gaston",,,way
"Pont Gramme",,,way
"Pont Kennedy",,,way
"Pont Maghin",,,way
"Pont Marcotty",,,way
"Pont Marexhe",,,way
"Pont d'Amercœur",,,way
"Pont d'Île",,,way
"Pont d'Ougrée",,,way
"Pont de Belle-Île",,,way
"Pont de Bressoux",,,way
"Pont de Fétinne",,,way
"Pont de Fragnée",,,way
"Pont de Huy",,,way
"Pont de Liège",,,way
"Pont de Longdoz",,,way
"Pont de Milsaucy",,,way
"Pont de Namur",,,way
"Pont de Sauheid",,,way
"Pont des Arches",,,way
"Pont des Bayards",,,way
"Pont des Bruyères",,,way
"Pont des Grosses Battes",,,way
"Pont des Modeleurs",,,way
"Pont des Soupires",,,way
"Pont des Vennes",,,way
"Pont du Bouhay",,,way
"Pont du Diable",,,way
"Pont du Lhonneux",,,way
"Pont du Roi Albert",,,way
Potiérue,,,way
Publémont,,,way
"Quai Banning",,,way
"Quai Bonaparte",,,way
"Quai Churchill",,,way
"Quai Édouard Van Beneden",,,way
"Quai Gloesener",,,way
"Quai Gloessener",,,way
"Quai Godefroid Kurth",,,way
"Quai Henri Borguet",,,way
"Quai Joseph Wauters",,,way
"Quai Julien-Rémont",,,way
"Quai Marcellis",,,way
"Quai Mativa",,,way
"Quai Mickiels",,,way
"Quai Mozart",,,way
"Quai Paul van Hoegaerden",,,way
"Quai Roosevelt",,,way
"Quai Saint-Léonard",,,way
"Quai Saint-Paul de Sinçay",,,way
"Quai Sainte Barbe",,,way
"Quai Sainte-Barbe",,,way
"Quai Timmermans",,,way
"Quai Vercour",,,way
"Quai de Coronmeuse",,,way
"Quai de Gaulle",,,way
"Quai de Longdoz",,,way
"Quai de Maestricht",,,way
"Quai de Rome",,,way
"Quai de Wallonie",,,way
"Quai de l'Ourthe",,,way
"Quai de la Boverie",,,way
"Quai de la Dérivation",,,way
"Quai de la Goffe",,,way
"Quai de la Ribuée",,,way
"Quai des Ardennes",,,way
"Quai des Tanneurs",,,way
"Quai des Vennes",,,way
"Quai du Bac",,,way
"Quai du Barbou",,,way
"Quai du Condroz",,,way
"Quai du Halage",,,way
"Quai du Roi Albert",,,way
"Quai sur Meuse",,,way
RAVeL,,,way
"RAVeL 5",,,way
"RAVeL Ligne 210",,,way
"RAVeL Ligne 31",,,way
"RAVeL Meuse",,,way
"Rampe du Pont d'Ougrée",,,way
"Ravel 5 (Ligne 38)",,,way
"Résidence Fraternité",,,way
Rivage-en-Pot,,,way
"Rodgy Thier",,,way
Rodgy-Thier,,,way
"Rond-Point Marcel Florkin",,,way
"Rond-Point Simone David Constant",,,way
"Route de Boncelles",,,way
"Route de Légipont",,,way
"Route du Condroz",,,way
"Rue ""Sans Nom""",,,way
"Rue Achille Lebeau",,,way
"Rue Adèlaïde Coudère",,,way
"Rue Adelin et Jules Husson",,,way
"Rue Adolphe Borgnet",,,way
"Rue Adolphe Maréchal",,,way
"Rue Adrien de Witte",,,way
"Rue Agimont",,,way
"Rue Alban Poulet",,,way
"Rue Albert Mockel",,,way
"Rue Albert de Cuyck",,,way
"Rue Alex Bouvy",,,way
"Rue Alfred Magis",,,way
"Rue Alfred van beneden",,,way
"Rue Alphonse Tilkin",,,way
"Rue Ambiorix",,,way
"Rue André Delchef",,,way
"Rue André Dumont",,,way
"Rue André Renard",,,way
"Rue André Winands",,,way
"Rue Ansiaux",,,way
"Rue Armand Michaux",,,way
"Rue Armand Rassenfosse",,,way
"Rue Armand Stouls",,,way
"Rue Artus-bris",,,way
"Rue Auguste Buisseret",,,way
"Rue Auguste Donnay",,,way
"Rue Auguste Doutrepont",,,way
"Rue Auguste Hock",,,way
"Rue Auguste Javaux",,,way
"Rue Auguste Ponson",,,way
"Rue Aux-Pierres",,,way
"Rue Bagolet",,,relation
"Rue Baille-Colleye",,,way
"Rue Bailly-Deflandre",,,way
"Rue Bairoua",,,way
"Rue Barbe d'Or",,,way
"Rue Bas-Rhieux",,,way
"Rue Basse Cour",,,way
"Rue Basse Sauvenière",,,way
"Rue Basse-Wez",,,way
"Rue Bassenge",,,way
"Rue Bastin",,,way
"Rue Beeckman",,,way
"Rue Belle-vue",,,way
"Rue Belleflamme",,,way
"Rue Belvaux",,,way
"Rue Bernalmont",,,way
"Rue Bernimolin",,,way
"Rue Bertholet",,,way
"Rue Besonhez",,,way
"Rue Bidaut",,,way
"Rue Bihet",,,way
"Rue Billy",,,way
"Rue Bodson",,,way
"Rue Boileau",,,way
"Rue Bois Gotha",,,relation
"Rue Bois Guéau",,,way
"Rue Bois Mayette",,,way
"Rue Bois Saint-Jean",,,way
"Rue Bois d'Avroy",,,way
"Rue Bois de Sclessin",,,way
"Rue Bois l'Évêque",,,way
"Rue Bois-Chainoit",,,way
"Rue Bois-Mangon",,,way
"Rue Bois-Saint-Gilles",,,way
"Rue Bonne Fortune",,,way
"Rue Bonne Nouvelle",,,way
"Rue Bonne-Femme",,,way
"Rue Bonnier du Chène",,,way
"Rue Bontemps",,,way
"Rue Bossy",,,way
"Rue Bourdon",,,way
"Rue Bovy",,,way
"Rue Branche Planchard",,,way
"Rue Burton",,,way
"Rue Camille Lemonnier",,,way
"Rue Canal de l'Ourthe",,,way
"Rue Capitaine",,,way
"Rue Cardinal Cardijn",,,way
"Rue Carlier",,,way
